GameId,GameName,Description
148494,"1,2,3! Now you see me...",anim farm play game red lightgreen light decid chang rule without tell bonapart pig readi surpris 123 see one player take bunch anim let fall tabl ask rest player close eye nobodi look take action anim move anim add anim hide anim trade place two anim tell friend open eye let see know anim anim took action player give right answer score 1 point start
316377,7 Wonders (Second Edition),7 wonder board game award game planet 30 intern award million copi sold throughout world rediscov 7 wonder game award game world whole new version laud public critic 7 wonder claim place unmiss refer point modern board game 7 wonder base simpl eleg mechan draft allow 7 player play dead time player make choic appli time choic vari impact real final game divid 3 age littl littl increas import choic thus tension game global mechan care given artwork use immers player antiqu contribut gamersquo success game play 3 round call age simultan play card one time develop citi card repres various build construct resourc produc civilian commerci militari scientif structur guild end age go war nearest neighbour end 3 age talli victori point earn citi wonder militari prowess treasuri player highest score win game content 7 wonder board 148 age card 49 age card 49 age ii card 50 age iii card 78 coin 54 coin valu 1 24 coin valu 3 48 militari conflict token 24 defeat 24 victori 8 per age 1 pad score sheet 3 quick refer sheet describ effect card 1 list card chain leaflet 1 rulebook
155987,Abyss,abyss power vacant time come get hand throne privileg use cun win buy vote council recruit influenti lord abus power take control strateg territori final impos one abl rule abyss peopl abyss game develop combin collect player tri take control strateg locat underwat citi achiev player must develop three level first collect alli use recruit lord abyss grant access differ part citi player acquir card draft sort lord abyss acquir card grant special power cardhold mdash use card acquir locat power shut player need time land grab well order put best posit game end
21569,Adigma,adigma parti game involv simultan riddl puzzl solv riddl come wide varieti identifi photograph deciph secret messag memor imag mani addict game friend famili luck factor base dynam built board surpris space
31260,Agricola,descript boardgamenew agricola your farmer wooden shack spous littl els turn get take two action one one spous possibl youll find farm collect clay wood stone build fenc might think kid order get work accomplish first need expand hous go feed littl rugrat game support mani level complex main use nonus two main type card minor improv occup beginn version call famili variant us releas card use advanc play us releas includ three level type card basic edeck interact ideck complex kdeck rulebook encourag player experi various deck mixtur thereof aftermarket deck zdeck ldeck also exist agricola turnbas game 14 game round occur 6 stage harvest end stage round 4 7 9 11 13 14 player start two play token farmer spous thus take two turn action per round multipl option game progress youll first thing round new action card flip problem action taken one player round import thing high prefer player also start hand 7 occup card 160 total 7 minor improv card 140 total hesh may use game fit hisher strategi speak countless strategi depend card hand sometim good choic stay cours sometim better react oppon action
161970,Alchemists,alchemist two four bud alchemist compet discov secret mystic art point earn various way point earn publish theori ndash correct theori mdash therein lie problem game play six round begin round player choos play order choos play later get reward player declar action place cube various action space action space evalu order player gain knowledg mix ingredi test result use smartphon app io android also window random rule alchemi new game alchemist long someth even special alway buy magic artifact get extra push 9 differ game power also expens money mean noth there academ pride stake possess artifact definit earn reput player also earn money sell potion question qualiti adventur money mean end alchemist dont want rich want respect respect usual come publish theori play player reput go six round final exhibit reput convert point point also score artifact grant secret alchemi reveal player score point lose point base whether theori correct whoever point end game win flavor text mandrak root scorpion tail spongi mushroom warti toad mdash foundat alchemist livelihood scienc art arcan secret strang ingredi hide time find mix potion drink determin effect mdash play safe test concoct help assist gain rich sell potion wander adventur invest rich power artifact knowledg grow reput publish theori see knowledg wealth fame found murki depth alchemist cauldron
124742,Android: Netrunner,welcom new angel home beanstalk branch offic monument human achiev nbn proud broadcast favorit media program offer fulli comprehens stream music threede news sitcom classic movi sensi cover brave new age human hurtl space futur astonish seri new advanc everi day nbn affili keep pace bring vid that fit view android netrunn asymmetr live card game two player set cyberpunk futur android infiltr game pit megacorpor massiv resourc subvers talent lone runner corpor seek score agenda advanc take time credit buy time earn credit need must secur server data fort ice secur program come differ varieti simpl barrier code gate aggress sentri serv corpor virtual eye ear machin gun sprawl inform superhighway network turn runner need spend time credit acquir suffici wealth resourc purchas necessari hardwar develop suitabl power icebreak program hack past corpor secur measur job alway littl desper driven tight timelin shroud mysteri runner jacksin start run corpor server risk best program trash caught trace program left vulner corpor countermeasur uncommon unprepar runner fail bypass nasti sentri suffer massiv brain damag result even runner get data fort defens there tell hold sometim runner find someth valu sometim best work trash whatev corpor develop first player seven point win game like suffer brain damag bad public revis core set android netrunn releas late 2017 includ card origin core set releas 2012 well card genesi cycl spin cycl seri data pack card set releas previous art new
17329,Animal Upon Animal,anim want show good make tall pyramid must skill care posit penguin top crocodil sheep top penguin serpent sheep hedgehog want stand top pyramid height make dizzi tier auf tier aka anim upon anim pyramid danimaux dier op dier simpl stack game list age 499 29 cute wooden anim turn player roll die either place one two anim stack anim pass one anim anoth player place place anim tabl extend base player build upon cours piec fall whilst build get two back first player use anim win game intend children equal popular adult
25643,Arkadia,arkadia game build citi castl arkadia player use builder card worker neutral worker build hous arkadia hous built seal one 4 famili famili gave build order get build player seal seal chang victori point seal subject chang valu grow castl everi time hous built player also build castl 4 seal well decid valu seal castl also game timer second layer built last round start player gold win releas essen 2006 onlin play yucata turnbas
12005,Around the World in 80 Days,inspir jule vern novel player follow philea fogg passepartout footstep attempt travel around world 80 day map victorianera decor player turn choos one faceup travel card card come extra get first player next round exampl decid whether travel next citi want wait next round hope better card make journey must play requir travel card two transport type train ship exampl 2 ship card requir travel suez bombay 2 ship card must play train card wont help instanc time spent step way form day meet certain requir winner player spend fewest number day get around world number day depend travel card use plus help special card hindranc meander detect
