Unnamed: 0,player,game,card,one,play,point,new,take,use,turn,build,action,place,board,round,win,two,end,time,must,tile,score,differ,power,also,set,dice,first,get,number,citi,move,make,three,deck,hand,start,includ,collect,order,charact,world,mdash,resourc,victori,hero,may,tri,publish,four,mani,color,need,way,rule,control,space,base,token,uniqu,choos,oppon,complet,draw,ndash,gain,special,team,edit,allow,abil,five,creat,roll,good,everi,work,phase,battl,role,ship,find,come,becom,monster,piec,worker,adventur,best,mdashdescript,anoth,combin,even,possibl,help,expans,money,locat,around,give,Description
148494,3,1,0,1,1,1,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,the animals on the farm are playing a game of red lightgreen light but they decided to change a few of the rules without telling bonaparte the pig are you ready for the surprise in 123 now you see me one of the players takes a bunch of animals lets them fall on the table and asks the rest of the players to close their eyes while nobody is looking he takes an action with the animals move an animal add an animal hide an animal or trade places with two animals then tells his friends to open their eyes lets see if they know which animal or animals took the action each player who gives the right answer scores 1 point then it starts all over again 
316377,4,9,8,1,3,2,1,0,1,0,1,0,1,3,1,1,0,2,3,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 wonders the board game with more awards than any other game on the planet with over 30 international awards and over a million copies sold throughout the world rediscover 7 wonders the game which has won more awards than any other game in the world in a whole new version lauded by both the public and critics 7 wonders has claimed its place as an unmissable reference point in modern board gaming 7 wonders is based on a simple and elegant mechanic drafting which allows up to 7 players to play with no dead time players make their choice and apply all of them at the same time these choices are varied and their impact is real finally the game is divided into 3 ages which little by little increase the importance of these choices and thus the tension in the game the global mechanics and the care given to the artwork are used to immerse the player in antiquity and have contributed to the gamersquos success a game plays out over 3 rounds called ages during which you simultaneously play cards one at a time to develop your city these cards represent the various buildings you can construct resource producers civilian commercial military scientific structures and guilds at the end of each age you go to war with your nearest neighbours at the end of all 3 ages you tally up all of the victory points earned by your city your wonder your military prowess and your treasury the player with the highest score wins the game content 7 wonder boards 148 age cards 49 age i cards 49 age ii cards and 50 age iii cards 78 coins 54 coins of value 1 and 24 coins of value 3 48 military conflict tokens 24 defeats and 24 victories 8 per age 1 pad of score sheets 3 quick reference sheets describing the effects of the cards 1 list of cards and chaining leaflet 1 rulebook 
155987,4,2,3,1,0,0,0,2,3,0,0,0,0,0,0,1,0,1,2,1,0,0,1,4,0,0,0,1,1,0,2,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,the abyss power is once again vacant so the time has come to get your hands on the throne and its privileges use all of your cunning to win or buy votes in the council recruit the most influential lords and abuse their powers to take control of the most strategic territories finally impose yourself as the only one able to rule the abyssal people abyss is a game of development combination and collection in which players try to take control of strategic locations in an underwater city to achieve this players must develop on three levels first by collecting allies then using them to recruit lords of the abyss who will then grant access to different parts of the city players acquire cards through a draft of sorts and the lords of the abyss acquired on those cards grant special powers to the cardholder mdash but once you use the cards to acquire a location that power is shut off so players need to time their land grabs well in order to put themselves in the best position for when the game ends 
21569,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adigma is a party game which involves simultaneous riddle and puzzle solving riddles come in a wide variety identifying a photograph deciphering secret messages memorizing images and many more its an addictive game for friends and family with some luck factor based on a dynamically built board with some surprise spaces 
31260,4,5,7,3,2,0,1,2,3,2,1,5,0,0,5,0,4,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,2,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,description from boardgamenews in agricola youre a farmer in a wooden shack with your spouse and little else on a turn you get to take only two actions one for you and one for the spouse from all the possibilities youll find on a farm collecting clay wood or stone building fences and so on you might think about having kids in order to get more work accomplished but first you need to expand your house and what are you going to feed all the little rugrats the game supports many levels of complexity mainly through the use or nonuse of two of its main types of cards minor improvements and occupations in the beginners version called the family variant in the us release these cards are not used at all for advanced play the us release includes three levels of both types of cards basic edeck interactive ideck and complex kdeck and the rulebook encourages players to experiment with the various decks and mixtures thereof aftermarket decks such as the zdeck and the ldeck also exist agricola is a turnbased game there are 14 game rounds occurring in 6 stages with a harvest at the end of each stage after rounds 4 7 9 11 13 and 14 each player starts with two playing tokens farmer and spouse and thus can take two turns or actions per round there are multiple options and while the game progresses youll have more and more first thing in a round a new action card is flipped over problem each action can be taken by only one player each round so its important to do some things with high preference each player also starts with a hand of 7 occupation cards of more than 160 total and 7 minor improvement cards of more than 140 total that heshe may use during the game if they fit in hisher strategy speaking of which there are countless strategies some depending on your card hand sometimes its a good choice to stay on course and sometimes it is better to react to your opponents actions 
161970,6,4,0,0,5,7,1,0,1,0,0,3,1,0,3,1,1,2,1,0,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,1,0,0,0,1,1,0,2,1,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,3,0,0,0,in alchemists two to four budding alchemists compete to discover the secrets of their mystical art points can be earned in various ways but most points are earned by publishing theories ndash correct theories that is mdash and therein lies the problem the game is played in six rounds at the beginning of the round players choose their play order those who choose to play later get more rewards players declare all their actions by placing cubes on the various action spaces then each action space is evaluated in order players gain knowledge by mixing ingredients and testing the results using a smartphone app ios android and also windows that randomizes the rules of alchemy for each new game and if the alchemists are longing for something even more special they can always buy magical artifacts to get an extra push there are 9 of them different for each game and they are not only very powerful but also very expensive but money means nothing when theres academic pride at stake and the possession of these artifacts will definitely earn you some reputation too players can also earn money by selling potions of questionable quality to adventurers but money is just a means to an end the alchemists dont want riches after all they want respect and respect usually comes from publishing theories during play players reputations will go up and down after six rounds and a final exhibition reputation will be converted into points points will also be scored for artifacts and grants then the secrets of alchemy are revealed and players score points or lose points based on whether their theories were correct whoever has the most points at the end of the game wins flavor text mandrake root and scorpion tail spongy mushroom and warty toad mdash these are the foundations of the alchemists livelihood science and art but what arcane secrets do these strange ingredients hide now it is time to find out mix them into potions and drink them to determine their effects mdash or play it safe and test the concoction on a helpful assistant gain riches selling potions to wandering adventurers and invest these riches in powerful artifacts as your knowledge grows so will your reputation as you publish your theories for all to see knowledge wealth and fame can all be found in the murky depths of the alchemists cauldron 
124742,2,3,4,0,0,1,4,1,0,1,0,0,0,0,0,1,1,0,3,1,0,1,1,1,0,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,welcome to new angeles home of the beanstalk from our branch offices in this monument of human achievement nbn proudly broadcasts all your favorite media programming we offer fully comprehensive streaming in music and threedee news and sitcoms classic movies and sensies we cover it all ours is a brave new age and as humanity hurtles into space and the future with an astonishing series of new advances every day nbn and our affiliates are keeping pace bringing you all the vid thats fit to view android netrunner is an asymmetrical living card game for two players set in the cyberpunk future of android and infiltration the game pits a megacorporation and its massive resources against the subversive talents of lone runners corporations seek to score agendas by advancing them doing so takes time and credits to buy the time and earn the credits they need they must secure their servers and data forts with ice these security programs come in different varieties from simple barriers to code gates and aggressive sentries they serve as the corporations virtual eyes ears and machine guns on the sprawling information superhighways of the network in turn runners need to spend their time and credits acquiring a sufficient wealth of resources purchasing the necessary hardware and developing suitably powerful icebreaker programs to hack past corporate security measures their jobs are always a little desperate driven by tight timelines and shrouded in mystery when a runner jacksin and starts a run at a corporate server he risks having his best programs trashed or being caught by a trace program and left vulnerable to corporate countermeasures its not uncommon for an unprepared runner to fail to bypass a nasty sentry and suffer massive brain damage as a result even if a runner gets through a data forts defenses theres no telling what it holds sometimes the runner finds something of value sometimes the best he can do is work to trash whatever the corporation was developing the first player to seven points wins the game but not likely before he suffers some brain damage or bad publicity the revised core set for android netrunner released in late 2017 includes cards from the original core set released in 2012 as well as cards from the genesis cycle and spin cycle series of data packs while the cards in this set have been released previously the art on some of them is new 
17329,4,2,0,2,0,0,0,0,1,1,2,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,the animals want to show how good they are at making tall pyramids they must be skillfully careful who will position the penguin on top of the crocodile the sheep on top of the penguin the serpent on the sheep the hedgehog wants to stand on top of the pyramid but the height is making him dizzy tier auf tier aka animal upon animal pyramide danimaux and dier op dier is a simple stacking game listed for ages 499 with 29 cute wooden animals each turn a player rolls the die and either places one or two animals on to the stack of animals passes one of his or her animals to another player for them to place or places an animal on the table extending the base for other players to build upon of course if any pieces fall off whilst you are building you get up to two of them back the first player to have used all of their animals wins this game intended for children is equally popular with adults 
25643,4,2,1,1,1,1,0,0,1,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,arkadia is a game about building the city and castle of arkadia players use builders cards workers and neutral workers to build houses in arkadia houses are built with the seal of one of 4 families this family gave the building order and will get the building player its seal these seals can be changed for victory points but seals are subject to changing values the growing castle every time a house is built players also build on the castle has the 4 seals on it as well which decides the value of each seal the castle is also the games timer once the second layer is built the last round starts the player with the most gold wins released essen 2006 online play yucata turnbased 
12005,4,0,9,1,2,0,0,0,1,1,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,inspired by the jules verne novel players are following in phileas fogg and passepartouts footsteps attempting to travel around the world in 80 days on a map with victorianera decorations on a players turn he chooses one of the faceup travel cards each card comes with an extra getting to be first player in the next round for example then he decides whether to travel to the next city does he want to wait until the next round in hopes of better cards or will he make his journey now if so he must have and play the required travel cards the two transportation types are trains and ships for example 2 ship cards are required to travel from suez to bombay so 2 ship cards must be played train cards wont help in this instance time is spent each step of the way in the form of days and while meeting certain other requirements the winner is the player who spends the fewest number of days getting around the world the number of days depends on the travel cards used plus help from special cards hindrance from the meandering detective and so on 
