,Crimes_Z0T100,Crimes_Z0T101,Crimes_Z0T102,Crimes_Z0T103,Crimes_Z0T104,Crimes_Z1T100,Crimes_Z1T101,Crimes_Z1T102,Crimes_Z1T103,Crimes_Z1T104,Crimes_Z2T100,Crimes_Z2T101,Crimes_Z2T102,Crimes_Z2T103,Crimes_Z2T104,Crimes_Z3T100,Crimes_Z3T101,Crimes_Z3T102,Crimes_Z3T103,Crimes_Z3T104,Crimes_Z4T100,Crimes_Z4T101,Crimes_Z4T102,Crimes_Z4T103,Crimes_Z4T104
2020-01-01,80,37,1,38,40,26,11,0.0,5,12,13,6.0,0.0,10,13,10,7,1.0,7,19,4.0,4.0,1.0,6.0,2.0
2020-01-02,55,37,7,52,62,17,15,3.0,7,23,7,13.0,2.0,13,6,8,10,0.0,18,22,8.0,5.0,0.0,4.0,4.0
2020-01-03,42,32,6,46,58,24,18,3.0,25,29,8,4.0,2.0,14,13,11,11,0.0,20,17,3.0,3.0,0.0,4.0,10.0
2020-01-04,52,29,5,53,86,14,7,5.0,10,28,12,5.0,5.0,20,16,11,11,6.0,18,22,5.0,3.0,1.0,8.0,4.0
2020-01-05,48,43,7,51,62,12,17,4.0,11,28,10,6.0,3.0,9,15,12,14,4.0,19,23,10.0,7.0,1.0,1.0,3.0
2020-01-06,58,47,10,56,73,22,10,4.0,22,38,8,11.0,3.0,20,17,12,14,5.0,28,31,8.0,3.0,1.0,9.0,7.0
2020-01-07,73,33,7,47,71,16,12,5.0,11,28,10,11.0,2.0,16,18,15,18,5.0,25,30,2.0,2.0,1.0,7.0,14.0
2020-01-08,50,40,10,55,73,20,15,9.0,21,42,6,8.0,4.0,16,26,15,18,5.0,21,23,0.0,1.0,2.0,11.0,7.0
2020-01-09,55,31,12,65,90,12,12,9.0,17,26,9,9.0,3.0,22,22,9,25,3.0,34,21,3.0,3.0,1.0,4.0,6.0
2020-01-10,66,42,12,45,83,15,21,5.0,16,39,14,14.0,1.0,22,24,7,12,4.0,29,23,7.0,4.0,0.0,2.0,10.0
